building,mode,seed,target_name,target_family,horizon_hours,n_dynamic_features,n_train_seq,n_fit_val_seq,n_test_seq,status,rmse,mae,r2,wape_pct,mape_pct,baseline_wape_pct,baseline_mape_pct,delta_wape_vs_baseline,delta_mape_vs_baseline,epochs_ran,datetime_test_start,datetime_test_end
U05,M0,42,target_cum_h8,cumulative,8,8,15364,1536,8199,ok,125.06093827110845,67.20682525634766,0.9221380352973938,17.888484954833984,13802114.0,32.27804613959487,8528724.510926869,-14.389561184760886,5273389.489073131,35,2024-01-02 02:00:00,2024-12-30 11:00:00
U05,M0,52,target_cum_h8,cumulative,8,8,15364,1536,8199,ok,130.79734443978595,69.14570617675781,0.9148313403129578,18.404558181762695,19215864.0,32.27804613959487,8528724.510926869,-13.873487957832175,10687139.489073131,35,2024-01-02 02:00:00,2024-12-30 11:00:00
U05,M0,62,target_cum_h8,cumulative,8,8,15364,1536,8199,ok,129.263433175241,68.68682098388672,0.9168172478675842,18.28241729736328,14953591.0,32.27804613959487,8528724.510926869,-13.99562884223159,6424866.489073131,35,2024-01-02 02:00:00,2024-12-30 11:00:00
U05,M1,42,target_cum_h8,cumulative,8,9,15364,1536,8199,ok,127.90826943800388,68.35643005371094,0.9185522198677063,18.194475173950195,22128410.0,32.27804613959487,8528724.510926869,-14.083570965644675,13599685.489073131,35,2024-01-02 02:00:00,2024-12-30 11:00:00
U05,M1,52,target_cum_h8,cumulative,8,9,15364,1536,8199,ok,125.02218943676559,68.64073181152344,0.9221863150596619,18.27014923095703,20139466.0,32.27804613959487,8528724.510926869,-14.00789690863784,11610741.489073131,35,2024-01-02 02:00:00,2024-12-30 11:00:00
U05,M1,62,target_cum_h8,cumulative,8,9,15364,1536,8199,ok,129.15880940483697,69.24398803710938,0.9169518351554871,18.43071746826172,17037496.0,32.27804613959487,8528724.510926869,-13.847328671333152,8508771.489073131,35,2024-01-02 02:00:00,2024-12-30 11:00:00
U05,M2,42,target_cum_h8,cumulative,8,14,15364,1536,8199,ok,130.59160009596712,70.3245849609375,0.9150990843772888,18.718339920043945,11809579.0,32.27804613959487,8528724.510926869,-13.559706219550925,3280854.4890731312,35,2024-01-02 02:00:00,2024-12-30 11:00:00
U05,M2,52,target_cum_h8,cumulative,8,14,15364,1536,8199,ok,126.24365315110894,67.4054183959961,0.9206584095954895,17.941343307495117,13677055.0,32.27804613959487,8528724.510926869,-14.336702832099753,5148330.489073131,35,2024-01-02 02:00:00,2024-12-30 11:00:00
U05,M2,62,target_cum_h8,cumulative,8,14,15364,1536,8199,ok,127.64389092559423,67.47235870361328,0.9188885688781738,17.959163665771484,17309188.0,32.27804613959487,8528724.510926869,-14.318882473823386,8780463.489073131,35,2024-01-02 02:00:00,2024-12-30 11:00:00
U05,M3,42,target_cum_h8,cumulative,8,15,15364,1536,8199,ok,132.6469703762585,70.7088851928711,0.9124055504798889,18.820629119873047,18285250.0,32.27804613959487,8528724.510926869,-13.457417019721824,9756525.489073131,35,2024-01-02 02:00:00,2024-12-30 11:00:00
U05,M3,52,target_cum_h8,cumulative,8,15,15364,1536,8199,ok,124.03000597763632,66.24955749511719,0.9234164357185364,17.63368797302246,11049437.0,32.27804613959487,8528724.510926869,-14.64435816657241,2520712.4890731312,35,2024-01-02 02:00:00,2024-12-30 11:00:00
U05,M3,62,target_cum_h8,cumulative,8,15,15364,1536,8199,ok,129.00037851204158,69.74787139892578,0.9171554446220398,18.564836502075195,14419467.0,32.27804613959487,8528724.510926869,-13.713209637519675,5890742.489073131,35,2024-01-02 02:00:00,2024-12-30 11:00:00
